,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
269,THORNY DEVIL 3H,24:00:00,18.37,32.05,1.25,150,80,,2021-04-02
270,WOMBAT 2H,24:00:00,34.43,49.2,14.16,140,80,,2021-04-02
272,CROC 1H,24:00:00,6.65,6.23,20.0,200,80,"12on/12off, 6.5spm",2021-04-01
273,GALAH 3H,24:00:00,36.78,53.95,22.5,150,80,top 90 bottom 71,2021-04-01
274,GOANNA 1H,24:00:00,45.17,14.03,0.01,150,80,,2021-04-01
275,GREAT WHITE 1H,24:00:00,53.34,75.51,20.0,125,90,,2021-04-01
276,GREAT WHITE 2H,24:00:00,44.16,34.68,20.0,125,90,,2021-04-01
277,JAVELINA 1H,24:00:00,18.34,15.53,6.66,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-01
278,MANTA 1H,24:00:00,19.53,30.64,8.92,200,80,,2021-04-01
279,REEF 3H,24:00:00,24.96,32.34,28.33,200,70,6.5spm,2021-04-01
280,RIDGEBACK 1H,24:00:00,16.71,11.9,5.0,120,80,7.1spm,2021-04-01
281,SEA WASP 2H,24:00:00,18.91,4.11,19.17,100,320,LTF 50/20,2021-04-01
282,STINGRAY 2H,24:00:00,15.03,14.19,4.16,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-01
287,Summary,,417.38,575.47,208.08,,,,2021-04-01
283,THORNY DEVIL 1H,24:00:00,34.9,97.66,21.67,180,100,Chem treated,2021-04-01
284,THORNY DEVIL 2H,24:00:00,32.38,98.37,14.17,170,100,Chem treated,2021-04-01
285,THORNY DEVIL 3H,24:00:00,15.88,32.43,2.08,150,80,Chem treated,2021-04-01
286,WOMBAT 2H,24:00:00,34.64,53.9,15.42,140,90,.,2021-04-01
288,CROC 1H,24:00:00,9.98,9.34,10.0,200,80,"12on/12off, 6.5spm",2021-03-31
289,GALAH 3H,24:00:00,42.18,55.5,12.5,150,80,,2021-03-31
290,GOANNA 1H,24:00:00,18.4,4.0,16.67,90,80,,2021-03-31
291,GREAT WHITE 1H,24:00:00,46.67,66.0,30.0,125,90,,2021-03-31
292,GREAT WHITE 2H,24:00:00,25.0,54.0,25.0,125,90,,2021-03-31
293,JAVELINA 1H,24:00:00,18.34,16.0,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-31
294,MANTA 1H,24:00:00,33.46,32.86,8.37,200,80,,2021-03-31
295,REEF 3H,24:00:00,33.92,32.34,8.33,200,70,6.5spm,2021-03-31
296,RIDGEBACK 1H,24:00:00,8.46,12.0,5.0,120,80,7.1spm,2021-03-31
297,SEA WASP 2H,24:00:00,4.6,14.45,0.01,80,80,,2021-03-31
298,STINGRAY 2H,24:00:00,23.43,15.0,5.0,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-31
303,Summary,,389.72,594.95,180.46,,,,2021-03-31
299,THORNY DEVIL 1H,24:00:00,39.87,101.51,19.17,180,100,,2021-03-31
300,THORNY DEVIL 2H,24:00:00,31.55,94.83,13.33,160,100,,2021-03-31
301,THORNY DEVIL 3H,24:00:00,12.11,34.12,6.67,150,80,,2021-03-31
302,WOMBAT 2H,24:00:00,41.75,53.0,10.0,140,90,,2021-03-31
304,CROC 1H,24:00:00,6.66,24.18,16.26,200,80,"12on/12off, 6.5spm",2021-03-30
305,GALAH 3H,24:00:00,44.7,60.13,20.42,150,80,,2021-03-30
306,GOANNA 1H,24:00:00,13.38,4.0,4.99,80,40,,2021-03-30
307,GREAT WHITE 1H,24:00:00,58.22,68.0,14.0,125,90,,2021-03-30
308,GREAT WHITE 2H,24:00:00,45.0,68.0,20.0,125,90,,2021-03-30
309,JAVELINA 1H,24:00:00,18.34,15.0,5.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-30
310,MANTA 1H,24:00:00,30.7,34.0,11.16,200,80,,2021-03-30
311,REEF 3H,24:00:00,14.99,31.04,0.01,200,70,6.5spm,2021-03-30
312,RIDGEBACK 1H,24:00:00,16.71,12.0,5.0,120,80,7.1spm,2021-03-30
313,SEA WASP 2H,24:00:00,11.69,18.48,0.01,120,80,,2021-03-30
314,STINGRAY 2H,24:00:00,16.99,14.0,5.0,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-30
319,Summary,,414.68,634.46,155.56,,,,2021-03-30
315,THORNY DEVIL 1H,24:00:00,40.18,102.36,20.41,180,100,,2021-03-30
316,THORNY DEVIL 2H,24:00:00,29.47,97.48,13.75,160,100,,2021-03-30
317,THORNY DEVIL 3H,24:00:00,22.56,38.79,9.16,150,80,,2021-03-30
318,WOMBAT 2H,24:00:00,45.09,47.0,10.0,140,90,,2021-03-30
320,CROC 1H,24:00:00,24.94,5.47,0.01,200,80,,2021-03-29
321,GALAH 3H,24:00:00,40.1,57.9,26.66,150,80,,2021-03-29
322,GOANNA 1H,0:00,0.01,0.01,0.01,110,70,Started Unit,2021-03-29
323,GREAT WHITE 1H,24:00:00,46.66,74.0,19.17,125,90,,2021-03-29
324,GREAT WHITE 2H,24:00:00,50.0,51.0,20.0,125,90,,2021-03-29
325,JAVELINA 1H,24:00:00,20.01,15.0,7.34,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-29
326,MANTA 1H,24:00:00,18.82,36.93,25.11,200,80,,2021-03-29
327,REEF 3H,24:00:00,33.37,49.0,23.33,200,70,,2021-03-29
328,RIDGEBACK 1H,24:00:00,16.7,12.0,3.33,120,80,7.1spm,2021-03-29
329,SEA WASP 2H,24:00:00,15.04,42.04,3.34,100,80,,2021-03-29
330,STINGRAY 2H,24:00:00,22.13,15.0,8.33,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-29
335,Summary,,437.68,610.74,179.95,,,,2021-03-29
331,THORNY DEVIL 1H,24:00:00,44.87,100.31,21.67,160,100,,2021-03-29
332,THORNY DEVIL 2H,24:00:00,33.22,100.22,15.0,150,100,,2021-03-29
333,THORNY DEVIL 3H,24:00:00,21.72,35.87,3.34,150,80,,2021-03-29
334,WOMBAT 2H,24:00:00,50.1,16.0,3.33,140,90,,2021-03-29
336,CROC 1H,24:00:00,9.97,6.92,0.01,200,80,"12on/12off, 6.5spm",2021-03-28
337,GALAH 3H,24:00:00,43.45,56.53,18.34,150,80,,2021-03-28
338,GOANNA 1H,0:00,0.01,0.01,0.01,100,90,shut in for build up,2021-03-28
339,GREAT WHITE 1H,24:00:00,60.0,77.0,25.0,125,90,,2021-03-28
340,GREAT WHITE 2H,24:00:00,50.0,73.0,20.0,125,90,,2021-03-28
341,JAVELINA 1H,24:00:00,18.34,15.0,8.33,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-28
342,MANTA 1H,24:00:00,32.08,29.82,23.98,200,80,,2021-03-28
343,REEF 3H,24:00:00,41.61,4.0,10.41,200,70,6.5spm,2021-03-28
344,RIDGEBACK 1H,24:00:00,18.38,12.0,1.67,120,80,7.1spm,2021-03-28
345,SEA WASP 2H,24:00:00,15.04,57.08,1.66,100,80,,2021-03-28
346,STINGRAY 2H,24:00:00,16.71,16.0,5.0,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-28
351,Summary,,437.15,585.25,176.04,,,,2021-03-28
347,THORNY DEVIL 1H,24:00:00,38.23,100.37,23.33,180,100,,2021-03-28
348,THORNY DEVIL 2H,24:00:00,34.88,99.89,16.66,150,100,,2021-03-28
349,THORNY DEVIL 3H,24:00:00,10.02,33.64,3.33,150,80,,2021-03-28
350,WOMBAT 2H,24:00:00,48.44,4.0,18.33,140,140,Turned thru Sep/opened csg,2021-03-28
352,CROC 1H,24:00:00,6.66,5.49,5.84,200,80,"12on/12off, 6.5spm",2021-03-27
353,GALAH 3H,24:00:00,40.59,56.65,11.66,150,80,,2021-03-27
354,GOANNA 1H,24:00:00,7.94,5.23,0.01,0,15,,2021-03-27
355,GREAT WHITE 1H,24:00:00,40.0,73.18,25.0,125,90,,2021-03-27
356,GREAT WHITE 2H,24:00:00,50.0,79.76,20.0,125,90,,2021-03-27
357,JAVELINA 1H,24:00:00,20.0,15.5,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-27
358,MANTA 1H,24:00:00,34.18,32.35,12.56,200,80,,2021-03-27
359,REEF 3H,24:00:00,28.7,29.26,0.01,200,70,6.5spm,2021-03-27
360,RIDGEBACK 1H,24:00:00,16.72,12.53,5.0,120,80,7.1spm,2021-03-27
361,SEA WASP 2H,24:00:00,15.04,50.27,3.34,120,80,,2021-03-27
362,STINGRAY 2H,24:00:00,23.39,16.5,6.67,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-27
367,Summary,,370.7,625.41,182.0,,,,2021-03-27
363,THORNY DEVIL 1H,24:00:00,39.91,106.76,15.0,180,100,,2021-03-27
364,THORNY DEVIL 2H,24:00:00,32.52,101.68,20.0,150,100,,2021-03-27
365,THORNY DEVIL 3H,24:00:00,15.05,36.04,1.67,150,80,,2021-03-27
366,WOMBAT 2H,24:00:00,0.01,4.21,44.0,140,20,,2021-03-27
368,CROC 1H,24:00:00,8.31,8.17,7.91,200,80,"12on/12off, 6.5spm",2021-03-26
369,GALAH 3H,24:00:00,43.45,54.75,20.42,150,80,,2021-03-26
370,GOANNA 1H,24:00:00,0.01,29.68,2.99,120,90,trash in pump/surged on tubing - back pumping,2021-03-26
371,GREAT WHITE 1H,24:00:00,60.0,73.0,21.67,125,90,,2021-03-26
372,GREAT WHITE 2H,24:00:00,49.6,46.0,20.0,125,90,,2021-03-26
373,JAVELINA 1H,24:00:00,18.34,15.0,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-26
374,MANTA 1H,24:00:00,20.24,37.41,25.11,200,80,,2021-03-26
375,REEF 3H,24:00:00,27.86,47.77,25.0,200,70,6.5spm,2021-03-26
376,RIDGEBACK 1H,24:00:00,16.71,12.0,1.67,120,80,7.1spm,2021-03-26
377,SEA WASP 2H,24:00:00,17.96,58.99,3.33,140,80,,2021-03-26
378,STINGRAY 2H,24:00:00,16.71,18.0,8.33,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-26
383,Summary,,363.49,645.97,241.87,,,,2021-03-26
379,THORNY DEVIL 1H,24:00:00,34.5,100.01,16.25,180,100,,2021-03-26
380,THORNY DEVIL 2H,24:00:00,36.12,105.47,18.76,150,100,,2021-03-26
381,THORNY DEVIL 3H,24:00:00,13.69,35.72,10.42,150,80,,2021-03-26
382,WOMBAT 2H,24:00:00,0.01,4.0,53.34,140,20,,2021-03-26
384,CROC 1H,24:00:00,18.29,21.54,17.51,200,80,"12on/12off, 6.5spm",2021-03-25
385,GALAH 3H,24:00:00,43.45,54.33,13.34,150,80,,2021-03-25
386,GOANNA 1H,24:00:00,28.44,4.0,62.5,140,250,,2021-03-25
387,GREAT WHITE 1H,24:00:00,60.25,74.63,18.33,125,90,,2021-03-25
388,GREAT WHITE 2H,24:00:00,48.75,58.65,20.0,125,90,,2021-03-25
389,JAVELINA 1H,24:00:00,15.87,16.0,6.66,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-25
390,MANTA 1H,24:00:00,22.04,29.03,6.98,200,80,,2021-03-25
391,REEF 3H,24:00:00,40.34,39.02,8.75,200,70,6.5spm,2021-03-25
392,RIDGEBACK 1H,24:00:00,13.37,13.0,3.33,120,80,7.1spm,2021-03-25
393,SEA WASP 2H,24:00:00,19.64,45.61,3.34,150,80,Chem treat,2021-03-25
394,STINGRAY 2H,24:00:00,25.06,21.36,5.0,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-25
399,Summary,,424.42,623.97,234.48,,,,2021-03-25
395,THORNY DEVIL 1H,24:00:00,36.92,105.04,22.5,180,100,Chem treated,2021-03-25
396,THORNY DEVIL 2H,24:00:00,36.54,105.36,18.33,150,100,Chem treated,2021-03-25
397,THORNY DEVIL 3H,24:00:00,15.46,36.25,6.25,150,80,Chem treated,2021-03-25
398,WOMBAT 2H,8:00,0.01,0.01,21.66,140,0,"BOL, Straight to heater",2021-03-25
400,CROC 1H,24:00:00,14.97,5.28,0.01,200,80,"12on/12off, 6.5spm",2021-03-24
401,GALAH 3H,24:00:00,44.69,52.97,15.83,150,80,,2021-03-24
402,GOANNA 1H,24:00:00,8.37,4.2,34.59,100,40,chem treated,2021-03-24
403,GREAT WHITE 1H,24:00:00,58.05,75.87,25.0,125,90,,2021-03-24
404,GREAT WHITE 2H,24:00:00,83.34,48.68,30.0,125,90,High prod due to putting oil from heater and water from heater,2021-03-24
405,JAVELINA 1H,24:00:00,20.0,15.43,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-24
406,MANTA 1H,24:00:00,46.72,35.45,20.23,200,80,,2021-03-24
407,REEF 3H,24:00:00,30.35,29.1,1.67,200,70,6.5spm,2021-03-24
408,RIDGEBACK 1H,24:00:00,16.71,12.76,8.33,120,80,7.1spm,2021-03-24
409,SEA WASP 2H,24:00:00,7.52,4.0,0.01,120,80,,2021-03-24
410,STINGRAY 2H,24:00:00,20.06,16.35,5.01,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-24
415,Summary,,456.03,544.51,192.31,,,,2021-03-24
411,THORNY DEVIL 1H,24:00:00,39.9,103.69,19.17,180,100,,2021-03-24
412,THORNY DEVIL 2H,24:00:00,37.36,104.94,18.33,180,100,,2021-03-24
413,THORNY DEVIL 3H,24:00:00,27.99,35.52,3.33,150,80,,2021-03-24
414,WOMBAT 2H,0:00,0.01,0.01,0.01,0,0,Workover on location,2021-03-24
416,CROC 1H,24:00:00,6.66,6.76,2.08,200,80,"12on/12off, 6.5spm",2021-03-23
417,GALAH 3H,24:00:00,37.81,51.63,14.17,150,80,,2021-03-23
418,GOANNA 1H,24:00:00,6.68,4.2,1.25,100,90,H/0 20/50 - load & test held,2021-03-23
419,GREAT WHITE 1H,24:00:00,58.33,76.98,23.67,125,90,,2021-03-23
420,GREAT WHITE 2H,24:00:00,50.0,52.79,23.0,125,90,,2021-03-23
421,JAVELINA 1H,24:00:00,20.01,15.5,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-23
422,MANTA 1H,24:00:00,25.84,34.06,17.43,200,80,,2021-03-23
423,REEF 3H,24:00:00,25.82,44.13,22.08,200,70,6.5spm,2021-03-23
424,RIDGEBACK 1H,24:00:00,16.71,13.06,3.34,120,80,7.1spm,2021-03-23
425,SEA WASP 2H,24:00:00,10.86,35.54,1.25,100,80,,2021-03-23
426,STINGRAY 2H,24:00:00,33.41,18.85,11.66,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-23
431,Summary,,376.75,597.62,169.52,,,,2021-03-23
427,THORNY DEVIL 1H,24:00:00,39.9,104.25,20.0,180,100,,2021-03-23
428,THORNY DEVIL 2H,24:00:00,32.18,106.75,19.17,180,100,,2021-03-23
429,THORNY DEVIL 3H,24:00:00,12.54,32.98,3.75,150,80,,2021-03-23
430,WOMBAT 2H,0:00,0.01,0.01,0.01,140,90,Parted rods,2021-03-23
432,CROC 1H,24:00:00,11.67,15.69,21.67,586,80,"12on/12off, 6.5spm",2021-03-22
433,GALAH 3H,24:00:00,45.95,53.29,13.33,150,80,,2021-03-22
434,GOANNA 1H,24:00:00,12.41,5.8,1.66,100,90,,2021-03-22
435,GREAT WHITE 1H,24:00:00,60.0,77.94,33.33,125,90,,2021-03-22
436,GREAT WHITE 2H,24:00:00,38.33,58.11,25.0,125,90,,2021-03-22
437,JAVELINA 1H,24:00:00,20.01,15.06,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-22
438,MANTA 1H,24:00:00,25.11,30.4,16.74,200,60,,2021-03-22
439,REEF 3H,24:00:00,41.88,40.81,13.34,200,70,6.5spm,2021-03-22
440,RIDGEBACK 1H,24:00:00,18.38,12.67,1.66,120,80,7.1spm,2021-03-22
441,SEA WASP 2H,24:00:00,12.53,30.94,2.5,130,80,,2021-03-22
442,STINGRAY 2H,24:00:00,11.7,8.48,0.01,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-22
447,Summary,,390.71,597.15,180.48,,,,2021-03-22
443,THORNY DEVIL 1H,24:00:00,36.98,104.8,18.33,180,100,drained bottoms,2021-03-22
444,THORNY DEVIL 2H,24:00:00,36.55,106.93,19.17,180,100,drained bottoms,2021-03-22
445,THORNY DEVIL 3H,24:00:00,19.21,35.89,3.75,150,80,,2021-03-22
446,WOMBAT 2H,0:00,0.01,0.01,0.01,140,90,Parted rods,2021-03-22
448,CROC 1H,24:00:00,8.46,5.84,0.01,200,80,"12on/12off, 6.5spm",2021-03-21
449,GALAH 3H,24:00:00,39.83,52.5,15.0,150,80,,2021-03-21
450,GOANNA 1H,24:00:00,16.73,5.51,3.34,100,90,,2021-03-21
451,GREAT WHITE 1H,24:00:00,58.34,77.94,27.34,125,90,,2021-03-21
452,GREAT WHITE 2H,24:00:00,45.0,44.22,20.0,125,90,,2021-03-21
453,JAVELINA 1H,24:00:00,20.07,15.19,5.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-21
454,MANTA 1H,24:00:00,33.52,35.0,16.74,200,60,,2021-03-21
455,REEF 3H,24:00:00,28.69,28.89,1.66,200,70,6.5spm,2021-03-21
456,RIDGEBACK 1H,24:00:00,16.71,12.52,5.67,120,80,7.1spm,2021-03-21
457,SEA WASP 2H,24:00:00,6.68,21.79,0.01,100,80,,2021-03-21
458,STINGRAY 2H,24:00:00,30.12,23.12,3.33,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-21
463,Summary,,406.49,572.35,141.83,,,,2021-03-21
459,THORNY DEVIL 1H,24:00:00,40.73,106.44,21.67,180,100,,2021-03-21
460,THORNY DEVIL 2H,24:00:00,36.54,107.41,18.33,180,100,,2021-03-21
461,THORNY DEVIL 3H,24:00:00,25.07,35.75,3.33,150,80,,2021-03-21
462,WOMBAT 2H,0:00,0.01,0.01,0.01,140,90,Parted rods,2021-03-21
464,CROC 1H,24:00:00,18.31,15.36,20.0,200,80,"12on/12off, 6.5spm",2021-03-20
465,GALAH 3H,24:00:00,44.72,51.54,14.58,150,80,,2021-03-20
466,GOANNA 1H,24:00:00,13.38,5.76,3.33,90,90,pumped up surged fair pump action,2021-03-20
467,GREAT WHITE 1H,24:00:00,44.19,74.0,28.33,125,90,,2021-03-20
468,GREAT WHITE 2H,24:00:00,55.0,60.0,20.0,125,90,,2021-03-20
469,JAVELINA 1H,24:00:00,18.14,15.0,5.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-20
470,MANTA 1H,24:00:00,55.82,44.22,2.79,200,60,,2021-03-20
471,REEF 3H,24:00:00,21.09,40.77,11.67,200,70,6.5spm,2021-03-20
472,RIDGEBACK 1H,24:00:00,13.4,13.0,5.0,120,80,7.1spm,2021-03-20
473,SEA WASP 2H,24:00:00,14.21,41.83,3.33,130,80,,2021-03-20
474,STINGRAY 2H,24:00:00,22.76,30.0,0.01,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-20
479,Summary,,410.81,638.53,162.79,,,,2021-03-20
475,THORNY DEVIL 1H,24:00:00,40.73,104.94,22.5,180,100,,2021-03-20
476,THORNY DEVIL 2H,24:00:00,36.53,108.51,21.67,180,100,,2021-03-20
477,THORNY DEVIL 3H,24:00:00,12.53,32.6,4.59,150,80,,2021-03-20
478,WOMBAT 2H,0:00,0.01,1.0,0.01,140,90,Parted rods,2021-03-20
480,CROC 1H,24:00:00,9.98,5.13,16.67,200,80,"12on/12off, 6.5spm",2021-03-19
481,GALAH 3H,24:00:00,46.79,56.63,18.75,150,80,,2021-03-19
482,GOANNA 1H,24:00:00,15.05,5.6,3.33,100,90,,2021-03-19
483,GREAT WHITE 1H,24:00:00,60.01,73.62,16.67,125,90,,2021-03-19
484,GREAT WHITE 2H,24:00:00,30.2,48.49,17.0,125,90,,2021-03-19
485,JAVELINA 1H,24:00:00,20.02,15.03,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-19
486,MANTA 1H,24:00:00,70.43,28.02,64.17,200,60,20/50 Hot Oil,2021-03-19
487,REEF 3H,24:00:00,43.27,45.27,16.66,200,70,6.5spm,2021-03-19
488,RIDGEBACK 1H,24:00:00,16.24,12.56,5.0,120,80,7.1spm,2021-03-19
489,SEA WASP 2H,24:00:00,14.0,23.13,0.01,100,80,Chem treated,2021-03-19
490,STINGRAY 2H,24:00:00,6.68,4.0,1.67,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-19
495,Summary,,424.57,569.19,219.5,,,,2021-03-19
491,THORNY DEVIL 1H,24:00:00,36.57,105.95,20.0,180,100,,2021-03-19
492,THORNY DEVIL 2H,24:00:00,36.54,108.9,18.33,180,100,,2021-03-19
493,THORNY DEVIL 3H,24:00:00,18.79,36.24,11.25,150,80,,2021-03-19
494,WOMBAT 2H,0:00,0.01,0.01,0.01,140,90,Parted rods,2021-03-19
496,CROC 1H,24:00:00,11.64,5.36,1.66,200,80,"12on/12off, 6.5spm",2021-03-18
497,GALAH 3H,24:00:00,51.38,54.72,17.92,150,80,Chem treated,2021-03-18
498,GOANNA 1H,24:00:00,27.6,6.88,11.67,120,90,,2021-03-18
499,GREAT WHITE 1H,24:00:00,63.33,75.0,29.0,125,90,,2021-03-18
500,GREAT WHITE 2H,24:00:00,58.34,54.0,20.0,125,90,,2021-03-18
501,JAVELINA 1H,24:00:00,20.0,17.0,8.34,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-18
502,MANTA 1H,24:00:00,18.82,17.38,2.13,200,80,,2021-03-18
503,REEF 3H,24:00:00,28.29,28.93,1.67,200,70,6.5spm,2021-03-18
504,RIDGEBACK 1H,24:00:00,15.03,13.0,1.67,120,80,7.1spm,2021-03-18
505,SEA WASP 2H,24:00:00,23.39,78.26,3.75,150,80,,2021-03-18
506,STINGRAY 2H,24:00:00,16.71,4.0,16.67,200,250,"12hrs on/12hrs off, 6.6spm",2021-03-18
511,Summary,,435.16,608.64,163.64,,,,2021-03-18
507,THORNY DEVIL 1H,24:00:00,43.63,109.72,24.58,160,100,Chem treated,2021-03-18
508,THORNY DEVIL 2H,24:00:00,36.11,107.55,21.25,180,100,Chem treated,2021-03-18
509,THORNY DEVIL 3H,24:00:00,20.89,36.84,3.33,150,80,Chem treated,2021-03-18
510,WOMBAT 2H,0:00,0.01,0.01,0.01,140,90,Parted rods,2021-03-18
512,CROC 1H,24:00:00,3.33,6.95,6.67,200,80,"12on/12off, 6.5spm",2021-03-17
513,GALAH 3H,24:00:00,48.46,50.86,10.0,150,80,,2021-03-17
514,GOANNA 1H,24:00:00,38.89,13.77,19.58,120,100,,2021-03-17
515,GREAT WHITE 1H,24:00:00,67.5,77.44,23.33,125,90,,2021-03-17
516,GREAT WHITE 2H,24:00:00,51.66,64.09,20.0,125,90,,2021-03-17
517,JAVELINA 1H,24:00:00,20.01,15.09,6.66,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-17
518,MANTA 1H,24:00:00,22.32,41.97,25.11,200,80,chem treated,2021-03-17
519,REEF 3H,24:00:00,28.28,33.07,5.0,200,70,6.5spm,2021-03-17
520,RIDGEBACK 1H,24:00:00,16.71,12.86,3.33,120,80,7.1spm,2021-03-17
521,SEA WASP 2H,24:00:00,21.72,62.88,6.25,140,80,,2021-03-17
522,STINGRAY 2H,24:00:00,28.41,4.1,10.0,200,250,,2021-03-17
527,Summary,,438.8,630.09,180.92,,,,2021-03-17
523,THORNY DEVIL 1H,24:00:00,41.56,108.22,20.0,160,100,,2021-03-17
524,THORNY DEVIL 2H,24:00:00,36.58,106.12,18.33,180,100,,2021-03-17
525,THORNY DEVIL 3H,24:00:00,13.37,32.07,6.66,150,80,,2021-03-17
526,WOMBAT 2H,0:00,0.01,0.01,0.01,140,90,Parted rods,2021-03-17
528,CROC 1H,24:00:00,6.65,20.25,11.67,200,80,"12on/12off, 6.5spm",2021-03-16
529,GALAH 3H,24:00:00,41.77,52.93,11.67,150,80,,2021-03-16
530,GOANNA 1H,24:00:00,32.31,10.57,43.33,110,100,,2021-03-16
531,GREAT WHITE 1H,24:00:00,71.14,89.0,51.67,125,90,,2021-03-16
532,GREAT WHITE 2H,24:00:00,35.48,74.0,40.0,125,90,,2021-03-16
533,JAVELINA 1H,24:00:00,20.21,16.0,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-16
534,MANTA 1H,24:00:00,32.08,22.89,5.58,200,80,,2021-03-16
535,REEF 3H,24:00:00,30.77,62.74,40.42,200,70,,2021-03-16
536,RIDGEBACK 1H,24:00:00,16.71,13.0,6.67,120,80,7.1spm,2021-03-16
537,SEA WASP 2H,24:00:00,6.26,16.47,0.01,100,80,,2021-03-16
538,STINGRAY 2H,24:00:00,0.01,4.0,0.01,200,250,"12hrs on/12hrs off, 6.6spm. Opened CSG.",2021-03-16
543,Summary,,382.96,632.52,263.11,,,,2021-03-16
539,THORNY DEVIL 1H,24:00:00,40.34,108.09,19.59,160,100,,2021-03-16
540,THORNY DEVIL 2H,24:00:00,35.86,106.19,17.09,180,100,,2021-03-16
541,THORNY DEVIL 3H,24:00:00,13.38,35.39,5.42,150,80,,2021-03-16
542,WOMBAT 2H,0:00,0.01,1.0,0.01,140,90,Parted rods,2021-03-16
544,CROC 1H,24:00:00,13.31,5.95,0.01,762,0,"12on/12off, 6.5spm / Chem treated",2021-03-15
545,GALAH 3H,24:00:00,43.07,53.25,12.91,150,80,,2021-03-15
546,GOANNA 1H,24:00:00,45.58,7.51,31.25,120,100,,2021-03-15
547,GREAT WHITE 1H,24:00:00,61.47,68.76,18.66,125,90,,2021-03-15
548,GREAT WHITE 2H,24:00:00,30.0,41.31,17.0,125,90,,2021-03-15
549,JAVELINA 1H,24:00:00,20.01,15.42,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-15
550,MANTA 1H,24:00:00,34.17,42.18,23.72,200,80,,2021-03-15
551,REEF 3H,24:00:00,36.18,31.07,2.92,200,70,6.5spm / Chem treated,2021-03-15
552,RIDGEBACK 1H,24:00:00,15.04,13.1,5.0,120,80,7.1spm,2021-03-15
553,SEA WASP 2H,24:00:00,6.27,12.84,0.01,100,80,,2021-03-15
554,STINGRAY 2H,24:00:00,13.36,4.0,5.0,200,100,"12hrs on/12hrs off, 6.6spm",2021-03-15
559,Summary,,414.36,550.18,173.96,,,,2021-03-15
555,THORNY DEVIL 1H,24:00:00,39.65,107.44,22.5,180,100,,2021-03-15
556,THORNY DEVIL 2H,24:00:00,37.36,109.56,21.66,180,100,,2021-03-15
557,THORNY DEVIL 3H,24:00:00,18.89,37.18,6.25,150,80,,2021-03-15
558,WOMBAT 2H,0:00,0.01,0.01,0.01,140,90,Parted rods,2021-03-15
560,CROC 1H,24:00:00,9.98,5.87,0.01,200,80,"12on/12off, 6.5spm",2021-03-14
561,GALAH 3H,24:00:00,50.13,54.88,12.92,150,80,,2021-03-14
562,GOANNA 1H,24:00:00,57.71,4.0,32.91,120,100,,2021-03-14
563,GREAT WHITE 1H,24:00:00,48.54,66.0,20.0,125,90,,2021-03-14
564,GREAT WHITE 2H,24:00:00,47.64,39.0,20.0,125,90,,2021-03-14
565,JAVELINA 1H,24:00:00,20.01,15.0,6.66,130,80,"12hrs on/12hrs off, 7.3spm",2021-03-14
566,MANTA 1H,24:00:00,20.22,23.85,6.28,200,80,,2021-03-14
567,REEF 3H,24:00:00,31.6,30.06,1.25,200,70,6.5spm,2021-03-14
568,RIDGEBACK 1H,24:00:00,16.71,13.0,1.66,120,80,7.1spm,2021-03-14
569,SEA WASP 2H,24:00:00,10.02,21.65,3.34,120,80,,2021-03-14
570,STINGRAY 2H,20:00,13.37,6.0,13.33,200,100,DOA(hole in separator). BOL(bypassed sep),2021-03-14
575,Summary,,421.57,545.47,159.6,,,,2021-03-14
571,THORNY DEVIL 1H,24:00:00,41.57,109.7,19.16,180,100,,2021-03-14
